ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	Terrane	Paleolatitude	Environment_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	Dominant	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Foraminifera	Stromatoporoids	Porifera	Corals	Conularids	Gastropoda	Cephalopoda	Bivalvia	Brachiopoda	Tentaculita	Ectoprocta	Ostracoda	Conchostracans	Trilobita	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
52	Upper Devonian	Frasnian	Changyang	China	Huangjiadeng		382.7	372.2								1		1		0	0	0	0	0	0	SAN SIL							0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	rare	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	1	1	1	0	1		
53	Upper Devonian	Frasnian	Longmenshan	China	Tuqiaozi		382.7	372.2																									1	0	0	0	0	0	0	1		1	1	0	0	0	0	0	0	0	0	2			0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		
54	Middle Devonian	late Eifelian	Cement Plant	China	Haikou		389.5666667	387.7			Offshore			0		1		0		1		0		1		SAN SHA								0	0	1	1	0	0	1	10	0	0	0	0	0	0	1	2	0	0	13	abundant		1	1																																
55	Middle Devonian	early Eifelian	Wuding	China	Haikou		393.3	391.4333333			Foreshore-offshore															SAN SHA								0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3						0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	1	1	0	0	0	1		
56	Middle Devonian	early Eifelian	Qujing	China	Shangshuanghe		393.3	391.4333333			Foreshore-offshore															SAN								0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3						0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	1	1	0	0	0	1		
57	Middle Devonian	middle Eifelian	Caojiaba	China	Tiaomajian		391.4333333	389.5666667								1	45	1	35			1	20			SAN							0	0	0	1	1	0	0	1	13	0	0	0	0	0	0	0	0	0	0	14						0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	1	1	1	0	0	0	0		
58	Middle Devonian	late Givetian	Longmenshan	China	Jinbaoshi		384.3666667	382.7			shallow sea			0	0	0	0	1	40	0	0	0	0	1	60	LIM							1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	4	rare		0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1		0	0	0	0	0	0	0	1		
59	Upper Devonian	late Famennian	Zhongning	China	Zhongning		363.3333333	358.9			meandering stream					1		1								SAN							0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	1	1	1	9			0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	1	1	0	1	1		
60	Lower Devonian	late Emsian	Wufengshan	China	Jiucheng		398.0666667	393.3						0		1		0		1		0		1		SAN SHA										0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
61	Upper Silurian	late Ludlow	Qujing	China	Kuanti		425.6	419.2			Marine			0	0	1	5	1	20	1	30	1	35	0	0	MUD										1		1		1		1		0	0	0	0	1		0	0	0																																				
62	Upper Silurian	Ludlow	Qujing	China	Yuejiashan		427.4	423			Marine	1989		0	0	0	0	0	0	1		1		1		SHA										0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1																																				
63	Upper Silurian	Ludlow	Qujing	China	Miaokao		427.4	423			Marine	1989		0		0		0		1		0		1		LIM								0	0	0	0	0	0	1		1	4	0	0	1	1	0	0	0	0	5																																				
64	Upper Silurian	Pridoli	Qujing	China	Yulungssu		423	419.2			Marine			0		0		0		1		0		1		SHA								0	0	1	1	0	0	1	2	1	3	0	0	0	0	1	2	0	0	8																																				
65	Lower Devonian		Xitun	China	Xitun						Shallow marine			0		1		0		1		1		1		SHA LIM										1		0	0	1		1		0	0	1		1		0	0	0										0	0	0	0	1	1	0	0	1	0	0	0	0	0				0	0	1		0		0			
66	Silurian		Dongpo	China	Kuanti						Marine			0		0		1		0		1		1		LIM										1	1	1	1	1		0	0	0	0	0	0	1		0	0	2										0	0	0	1	1	1	0	0	1	0	0	0	0	0													
67	Upper Devonian	early-middle Frasnian	Floresta area	Colombia	Cuche		382.7	375.7																										0	0	0	0	0	0	1	2					1	1	1	1	0	0	4																																				
68	Upper Devonian	early Famennian	East Greenland	Danemark	Tegelbjerg Mb		372.2	367.7666667																										0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	1	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
